k,inertia,silhouette
20,12481.355062370263,0.5009075130651229
30,7172.407408457279,0.49329489207712185
40,5217.353994767388,0.4899700874570902
50,3981.6787138234777,0.49673662989134626
60,3160.776043363052,0.5237474247697234
80,2262.9886529098976,0.5167121820657068
100,1584.122113366096,0.5343997223568664
120,1241.4297140344447,0.5414437497318336
150,927.5191798255267,0.5388556946682794
